Capacity_MW_,Latitude,Longitude,Albedo,MeanAAI,VegetationRatio,PopulationDensity,ProtectedAreaRatio,SlopeTopography,CloudCover,Surface Temperature,AverageDownwardRadiation,Unnamed: 12,Unnamed: 13,MinAlbedo,0,Unnamed: 16,AlbWeight,-2,Unnamed: 19,Cumulative Weight,Min,Normalised Cumulative Weight
0.582026583,41.443,114.998,108.055347,-0.148952326,0,446.2318755,0,0.323482484,0.500057141,14.25089559,14383627.23,,,,,,,,,4.675660948,,0.402271905
0.596663861,40.858,115.6157,121.5698989,-0.18916495,0,101.7649526,0,0.225135893,0.57002448,14.3188501,14689598.98,,,,,,,,,4.675660948,,0.402271905
0.349366138,51.6323,-111.9127,330.8671191,-0.163675644,0,0.633713271,0,0.056136888,0.494634902,14.3218988,9254943.982,,,,,,,,,5.860103597,,0.496532116
0.380942116,50.6988,-110.013,193.343895,-0.411202679,0.00493331,37.04797227,0,0.026287489,0.369433513,14.32818118,9557853.107,,,,,,,,,5.860103597,,0.496532116
0.470270709,46.1418,124.7992,257.7046942,-0.051740324,0.21643088,74.59802931,0,0.023895821,0.537312062,14.33286506,13272246.61,,,,,,,,,6.042901671,,0.511079537
0.336067543,53.8446,-113.2083,326.2547932,-0.17331197,0,0.743887994,0,0.058616705,0.452537671,14.37344273,8988105.982,,,,,,,,,6.621940366,,0.557160544
0.422793085,39.4564,-77.9663,136.8299234,-0.335283455,0.004158924,9.437643225,0,0.164768934,0.376358917,14.3985925,10090832.48,,,,,,,,,5.411588464,,0.460838424
0.340514178,49.7272,-112.623,333.8168894,-0.113947494,0,2.348658521,0,0.058616705,0.491928706,14.42274421,8981827.857,,,,,,,,,4.134221602,,0.359183126
0.354085181,53.2469,-113.8246,340.5835447,-0.15161579,0.002129271,6.716435512,0,0.056136888,0.517104197,14.42944605,9363499.482,,,,,,,,,5.488357696,,0.466947867
0.327513497,39.4564,-77.9663,333.8975841,-0.148304296,0,5.127027924,0,0.005741008,0.457792158,14.49925157,8802750.607,,,,,,,,,3.773695207,,0.330491746
0.590268372,39.9522,118.1575,127.6460417,-0.2601168,0,8.225053948,0,0.269399107,0.528687559,14.55591509,14617474.73,,,,,,,,,5.519227147,,0.469404516
0.597555802,41.9693,117.1853,128.0191245,-0.365348455,0,8.274482471,0,0.290838152,0.557277523,14.5834,14600904.36,,,,,,,,,5.519227147,,0.469404516
0.412058089,27.3209,-81.8069,125.7625017,-0.419683315,0,22.07557605,0,0.066707537,0.319880422,14.61477296,10003712.48,,,,,,,,,5.519227147,,0.469404516
0.3306878,44.1019,-80.7494,247.7511988,-0.209934312,0.227853076,0.002188942,0,0.058616705,0.404643292,14.62116809,8976997.357,,,,,,,,,3.95218281,,0.344696131
0.327426753,50.3777,-113.3491,326.554613,-0.139073459,0.301340765,926.4715844,0,0.056136888,0.529090133,14.6708763,9336337.328,,,,,,,,,3.927588699,,0.342738884
0.377205601,42.7108,-82.4617,212.0617519,-0.326762638,0.002395067,22.95583489,0,0.077128582,0.340994667,14.70469617,9645087.232,,,,,,,,,5.749201521,,0.487706317
0.418823169,37.9714,-84.155,148.4113812,-0.37362422,0,16.31248841,0,0.039398912,0.393276644,14.73233569,10047879.61,,,,,,,,,4.431675913,,0.382855109
0.61143635,39.9189,114.8313,110.8923149,-0.271862315,0,101.8201976,0,0.513397574,0.540625147,14.74389296,14616076.36,,,,,,,,,5.417746106,,0.461328461
0.349330722,49.2875,-113.1599,351.712951,-0.254996862,0.001385005,4.092926238,0,0.071515746,0.498005661,14.74755611,9276047.732,,,,,,,,,7.22524506,,0.605172685
0.408290375,32.5333,-96.429,187.2647721,-0.410299183,0,40.39398299,0,0.144337788,0.380470818,14.77095125,10009099.86,,,,,,,,,4.675239875,,0.402238395
0.397436759,31.397,-109.929,119.5362084,-0.471362651,0,0.300081922,0,0.126416534,0.284868386,14.84643311,9451991.196,,,,,,,,,6.051605023,,0.511772166
0.34528784,53.3104,-113.628,340.914558,-0.064749947,0.000694299,2.233160388,0,0.058616705,0.497069243,14.99465083,9034402.232,,,,,,,,,5.326110265,,0.454035906
0.36631686,49.844,-112.1273,274.9887508,-0.297228694,0.000593907,12.08485125,0,0.137425214,0.393313512,15.00830758,9453041.357,,,,,,,,,4.561501545,,0.393186881
0.370163169,32.304,-84.991,330.0112595,-0.245185778,0.001597416,1.270512026,0,0.036211628,0.455058079,15.06118844,9995410.74,,,,,,,,,4.710739266,,0.405063505
0.356652422,45.4962,-74.5232,285.5286482,-0.282053823,0.000548431,6.921650448,0,0.010951095,0.390809951,15.10044474,9442818.732,,,,,,,,,4.923519897,,0.421996994
0.59982474,41.9958,117.3693,142.4518515,-0.309958092,0.022713697,20.34402367,0,0.290838152,0.592181277,15.10220042,14560588.11,,,,,,,,,4.978465936,,0.426369705
0.352817571,53.8045,-113.0886,304.6706762,-0.154645856,0,5.226229734,0,0.058616705,0.468880504,15.19237026,8960310.357,,,,,,,,,5.663310225,,0.480870923
0.365640186,36.8768,-120.6676,376.5742797,-0.219972897,0,0.101997973,0,0.038298473,0.480228158,15.1951017,10166892.73,,,,,,,,,5.663310225,,0.480870923
0.415955544,34.8708,-118.3195,124.8951476,-0.411754262,0,20.37916191,0,0.105513468,0.336816269,15.20200811,9766962.357,,,,,,,,,4.833818601,,0.414858393
0.41109873,40.184,-103.639,167.5507583,-0.444205739,0,15.17028945,0,0.120073162,0.33510345,15.23327368,10051309.98,,,,,,,,,6.091002747,,0.514907512
0.419682091,44.3327,-69.781,152.8361405,-0.341639257,0.033841078,616.8143085,0,0.164768934,0.378050404,15.24793446,10044754.61,,,,,,,,,6.091002747,,0.514907512
0.416965236,33.1101,-116.0059,147.4546204,-0.396993908,0,28.03716449,0,0.122302674,0.317241261,15.27340945,10144912.36,,,,,,,,,5.340915516,,0.455214136
0.581205099,41.163,117.803,129.9896945,-0.230511068,0.004053668,87.98746596,0,0.202104077,0.507479444,15.28762709,14378395.98,,,,,,,,,5.340915516,,0.455214136
0.565444706,34.4716,110.5013,95.16786069,-0.531817522,0,134.2641455,0,0.139572963,0.391261251,15.29592488,14153750.23,,,,,,,,,4.621538642,,0.397964748
0.404542755,42.9019,-74.1327,190.4891117,-0.402005125,0,23.6464214,0,0.120073162,0.339594333,15.30850017,10051309.98,,,,,,,,,7.705072892,,0.643358302
0.413397827,41.0502,-78.6519,144.7652379,-0.514474162,0.000882933,27.5836941,0,0.109077252,0.304686995,15.310575,10036677.64,,,,,,,,,6.934398795,,0.582026583
0.393851619,42.9378,-82.3417,196.6870907,-0.46223722,0.007495222,10.72796459,0,0.057533059,0.345782107,15.35169443,9803455.607,,,,,,,,,7.118325992,,0.596663861
0.589153525,40.7553,118.1744,116.3202109,-0.108736083,0,446.231831,0,0.323482484,0.50054316,15.35513874,14383627.23,,,,,,,,,4.010864572,,0.349366138
0.587582097,36.845,115.491,150.270059,-0.166253314,0.008664505,78.79985326,0,0.202104077,0.563849758,15.38841269,14476895.86,,,,,,,,,4.407637877,,0.380942116
0.413305341,39.6825,-76.3726,162.1565477,-0.320837988,0.073622267,941.4193057,0,0.164768934,0.408957303,15.42428483,9859133.607,,,,,,,,,5.53011144,,0.470270709
0.3868999,32.5755,-84.3166,283.804248,-0.248202526,0,15.18093622,0,0.006217871,0.449610949,15.42513237,10009405.73,,,,,,,,,3.843758825,,0.336067543
0.443169485,31.977,-88.8876,130.9387691,-0.374705156,0.000866984,46.97122246,0,0.07782951,0.40163499,15.44462384,10351475.23,,,,,,,,,4.933523309,,0.422793085
0.367324615,50.7402,-111.3714,309.5826418,-0.211440763,0,1.311123505,0,0.103407159,0.477002873,15.54120915,9257553.303,,,,,,,,,3.899633772,,0.340514178
0.595195996,41.996,117.845,141.0122956,-0.295475277,0.004316001,30.35613576,0,0.202104077,0.563533429,15.54149167,14514323.98,,,,,,,,,4.070162509,,0.354085181
0.388252712,32.924,-101.717,196.4453514,-0.382147597,0.00159722,12.25829674,0,0.09086068,0.320519499,15.55443164,9659391.857,,,,,,,,,3.736271512,,0.327513497
0.407758007,41.2149,116.6455,177.1309374,-0.093671671,0.364867315,32543.8666,0,0.01877914,0.52925098,15.57433517,13255730.36,,,,,,,,,7.037962393,,0.590268372
0.407758007,46.3336,125.422,177.1309374,-0.093671671,0.364867315,32543.8666,0,0.01877914,0.52925098,15.57433517,13255730.36,,,,,,,,,7.129533829,,0.597555802
0.407758007,46.297,125.2499,177.1309374,-0.093671671,0.364867315,32543.8666,0,0.01877914,0.52925098,15.57433517,13255730.36,,,,,,,,,4.798630907,,0.412058089
0.407758007,46.2366,125.0048,177.1309374,-0.093671671,0.364867315,32543.8666,0,0.01877914,0.52925098,15.57433517,13255730.36,,,,,,,,,3.776158761,,0.3306878
0.592918164,42.3343,117.6344,137.3939475,-0.230414518,0,8.274481509,0,0.203257855,0.542593129,15.57759311,14524776.11,,,,,,,,,3.735181521,,0.327426753
0.404465212,34.1357,-116.054,202.3356255,-0.382638815,0,24.23957338,0,0.06797073,0.409989858,15.59174535,9729979.982,,,,,,,,,4.360686064,,0.377205601
0.446702117,35.9025,-119.4428,127.7774828,-0.363602179,0,24.09373864,0,0.123676077,0.406343689,15.66257037,10259034.06,,,,,,,,,4.883638656,,0.418823169
0.405253282,44.2948,-76.6956,188.8966219,-0.350087885,0.004979931,21.01070572,0,0.026287489,0.356127742,15.69293151,10023715.36,,,,,,,,,7.303952196,,0.61143635
0.365430837,50.1021,-110.7238,332.9156538,-0.169346369,0,0.381301501,0,0.056136888,0.505393592,15.72345076,9312904.482,,,,,,,,,4.010419549,,0.349330722
0.609222119,40.7601,115.6339,125.6042659,-0.133424186,0.000876316,23.47759187,0,0.225135893,0.568269097,15.73804502,14745808.61,,,,,,,,,4.751287052,,0.408290375
0.364325829,50.6531,-113.8724,329.797067,-0.232089514,0.003540275,15.32096798,0,0.071515746,0.492842473,15.77804628,9265680.392,,,,,,,,,4.614904103,,0.397436759
0.444582027,30.4214,-97.4614,120.171561,-0.416064312,0.004280322,107.003962,0,0.122302674,0.395832659,15.78849592,10129722.98,,,,,,,,,3.959618033,,0.34528784
0.451820269,36.6406,-77.5768,333.3597529,-0.19167228,0.321257177,567.8368525,0,0.232161731,0.601610616,15.79229316,12640573.61,,,,,,,,,4.223861744,,0.36631686
0.414047341,38.1301,-87.9335,184.0022634,-0.312280872,0,8.543610277,0,0.026143722,0.392854577,15.82628199,9987079.173,,,,,,,,,4.272193192,,0.370163169
0.434159911,26.7491,-81.1921,131.4155187,-0.461395694,0,25.79367701,0,0.122302674,0.351051346,15.83305093,10131477.05,,,,,,,,,4.102421612,,0.356652422
